"BldgDmgFnID","Default","Occupancy","Source","Description","ft04m","ft03m","ft02m","ft01m","ft00","ft01","ft02","ft03","ft04","ft05","ft06","ft07","ft08","ft09","ft10","ft11","ft12","ft13","ft14","ft15","ft16","ft17","ft18","ft19","ft20","ft21","ft22","ft23","ft24","Comment"
105,,"RES1 ","FIA","one floor, no basement, Structure, A-Zone",0,0,0,0,18,22,25,28,30,31,40,43,43,45,46,47,47,49,50,50,50,51,51,52,52,53,53,54,54,"NULL"
106,,"RES1 ","FIA (MOD.)","one floor, w/ basement, Structure, A-Zone",7,7,7,11,17,21,29,34,38,43,50,50,54,55,55,57,58,60,62,63,65,67,69,70,72,74,76,77,79,"NULL"
107,1,"RES1 ","FIA","two floors, no basement, Structure, A-Zone",0,0,0,0,11,12,14,18,20,22,24,26,30,34,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56,"NULL"
108,1,"RES1 ","FIA (MOD.)","two floors, w/ basement, Structure, A-Zone",4,4,8,14,19,21,26,29,34,39,44,50,55,57,59,61,63,65,66,68,69,71,72,74,75,77,79,80,82,"NULL"
109,1,"RES1 ","FIA","three or more floors, no basement, Structure, A-Zone",0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56,"NULL"
110,1,"RES1 ","FIA (MOD.)","three or more floors, w/ basement, Structure, A-Zone",3,3,6,10,12,14,20,25,31,36,38,41,44,48,50,52,54,56,57,59,61,63,65,67,69,71,73,75,77,"NULL"
111,1,"RES1 ","FIA","split level, no basement, Structure, A-Zone",0,0,0,0,3,9,13,25,27,28,33,34,41,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,"NULL"
112,1,"RES1 ","FIA (MOD.)","split level, w/ basement, Structure, A-Zone",6,6,9,14,15,24,27,30,35,40,43,44,52,56,58,60,62,64,66,68,70,72,74,76,78,81,83,85,87,"NULL"
113,,"RES1 ","FIA","one floor, no basement, Structure, V-Zone",0,0,0,0,8,10,14,26,28,29,41,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,"NULL"
114,1,"RES1 ","FIA (MOD.)","one floor, w/ basement, Structure, V-Zone",7,7,10,14,17,21,29,34,38,43,47,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,"NULL"
115,1,"RES1 ","FIA","two floors, no basement, Structure, V-Zone",0,0,0,0,5,9,13,18,20,22,24,26,30,34,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,"NULL"
116,1,"RES1 ","FIA (MOD.)","two floors, w/ basement, Structure, V-Zone",4,4,8,14,17,24,26,29,34,39,44,50,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,"NULL"
117,1,"RES1 ","FIA","three or more floors, no basement, Structure, V-Zone",0,0,0,0,4,8,12,17,19,22,24,25,30,35,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,"NULL"
118,1,"RES1 ","FIA (MOD.)","three or more floors, w/ basement, Structure, V-Zone",3,3,6,10,11,14,20,25,31,36,38,41,44,47,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,"NULL"
119,,"RES1 ","FIA","split level, no basement, Structure, V-Zone",0,0,0,0,3,9,13,25,27,28,32,37,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,"NULL"
120,1,"RES1 ","FIA (MOD.)","split level, w/ basement, Structure, V-Zone",6,6,6,14,15,24,27,30,35,41,44,48,52,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,"NULL"
121,,"RES1 ","FIA","one floor, w/ basement, Structure, A-Zone",0,0,0,0,6,10,18,23,27,32,39,39,43,44,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,"NULL"
122,,"RES1 ","FIA","two floors, w/ basement, Structure,  A-Zone",0,0,4,8,13,15,20,23,27,32,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,"NULL"
123,,"RES1 ","FIA","three or more floors, w/ basement, Structure, A-Zone",0,0,3,5,7,9,15,20,26,31,33,36,39,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,"NULL"
124,,"RES1 ","FIA","split level, w/ basement, Structure, A-Zone",0,0,3,5,6,16,19,22,27,32,35,36,44,48,50,52,54,56,58,59,60,61,62,63,64,65,66,67,68,"NULL"
