ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,DV-Unit,LossFunction-Theta_0
contents.021.RES1.FIA.one_floor.no_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.000, 0.000, 0.000, 0.000, 0.120, 0.250, 0.350, 0.360, 0.380, 0.410, 0.450, 0.500, 0.550, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
contents.022.RES1.FIA.one_floor.with_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.000, 0.050, 0.070, 0.080, 0.160, 0.200, 0.220, 0.280, 0.330, 0.390, 0.440, 0.500, 0.550, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
contents.023.RES1.FIA.two_floors.no_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.000, 0.000, 0.000, 0.000, 0.080, 0.110, 0.190, 0.230, 0.280, 0.330, 0.390, 0.440, 0.500, 0.540, 0.580, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
contents.024.RES1.FIA-Modified.two_floors.with_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.000, 0.050, 0.070, 0.080, 0.160, 0.180, 0.250, 0.290, 0.330, 0.370, 0.420, 0.460, 0.520, 0.550, 0.580, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
contents.025.RES1.FIA-Modified.three_or_more_floors.no_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.000, 0.000, 0.000, 0.000, 0.070, 0.150, 0.210, 0.220, 0.230, 0.250, 0.270, 0.300, 0.350, 0.400, 0.430, 0.450, 0.480, 0.500, 0.520, 0.540, 0.560, 0.580, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
contents.026.RES1.FIA-Modified.three_or_more_floors.with_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.000, 0.050, 0.070, 0.080, 0.150, 0.220, 0.270, 0.280, 0.290, 0.300, 0.320, 0.350, 0.390, 0.430, 0.460, 0.470, 0.500, 0.520, 0.530, 0.550, 0.570, 0.580, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
contents.027.RES1.FIA.split_level.no_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.000, 0.000, 0.000, 0.000, 0.080, 0.110, 0.190, 0.230, 0.280, 0.330, 0.390, 0.440, 0.500, 0.540, 0.580, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
contents.028.RES1.FIA-Modified.split_level.with_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.000, 0.050, 0.070, 0.080, 0.160, 0.180, 0.250, 0.290, 0.330, 0.370, 0.420, 0.460, 0.520, 0.550, 0.580, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
contents.029.RES1.FIA.one_floor.no_basement.v_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.000, 0.000, 0.000, 0.000, 0.100, 0.170, 0.230, 0.290, 0.350, 0.400, 0.450, 0.500, 0.550, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
contents.030.RES1.FIA.one_floor.with_basement.v_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.000, 0.050, 0.070, 0.080, 0.150, 0.200, 0.220, 0.280, 0.330, 0.390, 0.440, 0.500, 0.550, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600, 0.600|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
