ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1,Meta-Description,Meta-Comments,Meta-SuggestedComponentBlockSize,Meta-RoundUpToIntegerQuantity,Meta-Reference,Meta-LimitStates-LS1-DS1-Description
RWC.001,0,Peak Internal Force,kN,0,1,normal,5.84,0.1,Roof-Wall Connection - General fragility,...,1 EA,1,dong2016,Tension from uplift
RWC.straps.001,0,Peak Internal Force,kN,0,1,normal,5.338,0.3,Roof-Wall Connection with Straps,...,1 EA,1,vickery2006,Tension from uplift
RWC.toe_nail.001a,0,Peak Internal Force,kN,0,1,normal,2.98,0.3,Roof-Wall Connection with Toe nails,...,1 EA,1,peng2013,Tension from uplift
RWC.toe_nail.001b,0,Peak Internal Force,kN,0,1,normal,1.92,0.23,Roof-Wall Connection with Toe nails,...,1 EA,1,"reed1997, shanmugam2009",Tension from uplift
RWC.toe_nail.001c,0,Peak Internal Force,kN,0,1,normal,1.846,0.25,Roof-Wall Connection with Toe nails,...,1 EA,1,vickery2006,Tension from uplift
RWC.toe_nail.straps.001,0,Peak Internal Force,kN,0,1,normal,7.31,0.1,Roof-Wall Connection with Toe nails and a small strap inside,The small strap is located on the inside of the wall.,1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.straps.002,0,Peak Internal Force,kN,0,1,normal,8.47,0.11,Roof-Wall Connection with Toe nails and a small strap outside,The small strap is located on the outside of the wall.,1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.straps.003,0,Peak Internal Force,kN,0,1,normal,14.35,0.1,Roof-Wall Connection with Toe nails and small straps on both sides,"Two small straps are installed, one inside and one outside of the wall.",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.straps.004,0,Peak Internal Force,kN,0,1,normal,9.22,0.11,"Roof-Wall Connection with Toe nails, a small strap outside, and plywood nailed.",The small strap is located on the outside of the wall. A plywood is nailed to the plate on the wall as spacer.,1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.straps.005,0,Peak Internal Force,kN,0,1,normal,8.56,0.11,"Roof-Wall Connection with Toe nails, a small strap outside, and plywood not nailed.",The small strap is located on the outside of the wall. A plywood is installed as spacer but not nailed to the plate on the wall.,1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.straps.006,0,Peak Internal Force,kN,0,1,normal,13.41,0.09,Roof-Wall Connection with Toe nails and a large strap outside,The large strap is located on the outside of the wall.,1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.straps.007,0,Peak Internal Force,kN,0,1,normal,12.21,0.12,Roof-Wall Connection with Toe nails and a large strap inside,The large strap is located on the inside of the wall.,1 EA,1,reed1997,Tension from uplift
RWC.epoxy.001,0,Peak Internal Force,kN,0,1,normal,7.53,0.37,Roof-Wall Connection with Epoxy.,"Epoxy set for one week, no toe nails used.",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.epoxy.001,0,Peak Internal Force,kN,0,1,normal,7.98,0.29,Roof-Wall Connection with Toe nails and epoxy.,"Epoxy set for one week, toe-nailed when epoxy is wet.",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.epoxy.002,0,Peak Internal Force,kN,0,1,normal,6.55,0.16,Roof-Wall Connection with Toe nails and epoxy on small wood blocks.,Epoxy set for one week.,1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.epoxy.003,0,Peak Internal Force,kN,0,1,normal,6.11,0.19,Roof-Wall Connection with Toe nails and epoxy on small wood blocks.,Epoxy set for 24-48 hrs.,1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.epoxy.004,0,Peak Internal Force,kN,0,1,normal,9.67,0.34,Roof-Wall Connection with Toe nails and epoxy on large wood blocks.,Epoxy set for one week.,1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.adhesive.001,0,Peak Internal Force,kN,0,1,normal,6.6,0.19,Roof-Wall Connection with Toe nails and acrylic adhesive,"Adhesive set for one week, toe-nailed when adhesive is wet.",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.adhesive.002,0,Peak Internal Force,kN,0,1,normal,4.95,0.33,Roof-Wall Connection with Toe nails and soaked with acrylic adhesive.,"Wood first soaked for 24 hours, then toe-nailed when adhesive is wet.",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.adhesive.003,0,Peak Internal Force,kN,0,1,normal,5.21,0.21,Roof-Wall Connection with Toe nails and acrylic adhesive on small wood blocks.,Adhesive set for one week.,1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.adhesive.004,0,Peak Internal Force,kN,0,1,normal,2.81,0.17,Roof-Wall Connection with Toe nails and 1/4 inch acrylic adhesive bead,...,1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.adhesive.005,0,Peak Internal Force,kN,0,1,normal,4.1,0.31,Roof-Wall Connection with Toe nails and 1/2 inch acrylic adhesive bead,...,1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.adhesive.006,0,Peak Internal Force,kN,0,1,normal,3.79,0.09,Roof-Wall Connection with Toe nails and foaming polyurethane adhesive.,...,1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.002,0,Peak Internal Force,kN,0,1,normal,12.56,0.1,Roof-Wall Connection with Toe nails and Simpson Strong-Tie H10.,Simpson Strong-Tie H10 metal connector installed on every truss.,1 EA,1,peng2013,Tension from uplift
RWC.hurricane_clip.001a,0,Peak Internal Force,kN,0,1,normal,5.836,0.1,Roof-Wall Connection with Hurricane Clip H2.5.,...,1 EA,1,"li2006,canfield1991",Tension from uplift
RWC.hurricane_clip.001b,0,Peak Internal Force,kN,0,1,normal,5.391,0.15,Roof-Wall Connection with Hurricane Clip H2.5.,...,1 EA,1,"li2006,canfield1991",Tension from uplift
RWC.toe_nail.003,0,Peak Internal Force,kN,0,1,normal,1.51,0.36,"Roof-Wall Connection with Toe nails, 2-16d layout.",...,1 EA,1,shanmugam2009,Tension from uplift
RWC.toe_nail.004,0,Peak Internal Force,kN,0,1,normal,1.83,0.34,"Roof-Wall Connection with Toe nails, 3-8d layout.",...,1 EA,1,"li2006,reed1997",Tension from uplift
RWC.toe_nail.005,0,Peak Internal Force,kN,0,1,normal,1.97,0.38,"Roof-Wall Connection with Toe nails, 3-16d layout.",...,1 EA,1,"jain2020,shanmugam2009",Tension from uplift
RWC.toe_nail.006a,0,Peak Internal Force,kN,0,1,normal,1.56,0.164,"Roof-Wall Connection with Toe nails, 2-16d layout, box nails.",...,1 EA,1,"shanmugam2009,cheng2004",Tension from uplift
RWC.toe_nail.006b,0,Peak Internal Force,kN,0,1,normal,2.59,0.212,"Roof-Wall Connection with Toe nails, 2-16d layout, box nails.",...,1 EA,1,"shanmugam2009,cheng2004",Tension from uplift
RWC.toe_nail.006c,0,Peak Internal Force,kN,0,1,normal,2.69,0.155,"Roof-Wall Connection with Toe nails, 2-16d layout, box nails.",...,1 EA,1,"shanmugam2009,cheng2004",Tension from uplift
WIN.regular.001a,0,Peak Wind Pressure,kPa,0,1,normal,3.35,0.3,Regular Window - General fragility,...,1 EA,1,"peng2013,gurley2005",Glass breaking
