ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1
DOOR.garage.001a,0,Peak Wind Pressure,kPa,0,1,normal,2.39,0.3
DOOR.garage.001b,0,Peak Wind Pressure,kPa,0,1,normal,2.5,0.2
DOOR.garage.001c,0,Peak Wind Pressure,kPa,0,1,normal,3.49,0.2
DOOR.garage.001d,0,Peak Wind Pressure,kPa,0,1,normal,1.436,0.2
DOOR.garage.002,0,Peak Wind Pressure,kPa,0,1,normal,3.59,0.3
DOOR.garage.003,0,Peak Wind Pressure,kPa,0,1,normal,2.49,0.2
DOOR.garage.004a,0,Peak Wind Pressure,kPa,0,1,normal,0.479,0.2
DOOR.garage.004b,0,Peak Wind Pressure,kPa,0,1,normal,0.958,0.2
DOOR.glass.001a,0,Peak Wind Pressure,kPa,0,1,weibull,2.45,4.08
DOOR.glass.001b,0,Peak Wind Pressure,kPa,0,1,weibull,4.86,4.5
DOOR.impact_resistant.001,0,Peak Wind Pressure,kPa,0,1,normal,7.18,0.3
DOOR.regular.001a,0,Peak Wind Pressure,kPa,0,1,normal,3.59,0.3
DOOR.regular.001b,0,Peak Wind Pressure,kPa,0,1,normal,3.6,0.2
DOOR.regular.001c,0,Peak Wind Pressure,kPa,0,1,normal,2.394,0.2
DOOR.regular.002,0,Peak Wind Pressure,kPa,0,1,normal,4.79,0.2
DOOR.shutters.001,0,Peak Wind Pressure,kPa,0,1,normal,5.41,0.3
RCOV.shingles.001a,0,Peak Wind Pressure,kPa,0,1,normal,2.39,0.4
RCOV.shingles.001b,0,Peak Wind Pressure,kPa,0,1,normal,2.9,0.2
RCOV.shingles.002a,0,Peak Wind Pressure,kPa,0,1,normal,3.35,0.4
RCOV.shingles.002b,0,Peak Wind Pressure,kPa,0,1,normal,3.35,0.3
RCOV.shingles.002c,0,Peak Wind Pressure,kPa,0,1,normal,3.35,0.15
RCOV.tiles.clay.001,0,Peak Wind Force,kN,0,1,normal,1.766,0.228
RCOV.tiles.clay.002,0,Peak Wind Force,kN,0,1,normal,0.267,0.528
RCOV.tiles.concrete.001,0,Peak Wind Force,kN,0,1,normal,1.259,0.134
RCOV.tiles.concrete.002,0,Peak Wind Force,kN,0,1,normal,2.513,0.14
RSH.ccspf.001,0,Peak Wind Pressure,kPa,0,1,lognormal,2.193,0.175
RSH.ccspf.002,0,Peak Wind Pressure,kPa,0,1,normal,8.54,0.209
RSH.ccspf.003,0,Peak Wind Pressure,kPa,0,1,lognormal,2.353,0.182
